Total Key Exchanges, How many Key Exchanges?, Overall Time (seconds), Overall Time (minutes), time per key exchange (miliseconds)
500500
, 1, 0.16000008583068848, 0.0026666680971781415, 160.00008583068848
, 2, 0.2669990062713623, 0.004449983437856038, 133.49950313568115
, 3, 0.39699888229370117, 0.006616648038228353, 132.33296076456705
, 4, 0.4930002689361572, 0.008216671148935954, 123.2500672340393
, 5, 0.6170001029968262, 0.010283335049947103, 123.40002059936523
, 22, 2.504999876022339, 0.041749997933705645, 113.86363072828813
, 6, 0.7380006313323975, 0.012300010522206624, 123.00010522206624
, 7, 0.8279998302459717, 0.013799997170766194, 118.28569003513881
, 8, 0.9289999008178711, 0.015483331680297852, 116.12498760223389
, 43, 4.858999729156494, 0.0809833288192749, 112.99999370131383
, 23, 2.642000198364258, 0.0440333366394043, 114.86957384192425
, 9, 1.0909998416900635, 0.018183330694834392, 121.22220463222926
, 10, 1.194000244140625, 0.019900004069010418, 119.4000244140625
, 64, 7.8359997272491455, 0.13059999545415243, 122.4374957382679
, 11, 1.2850003242492676, 0.021416672070821128, 116.81821129538795
, 24, 2.741999864578247, 0.04569999774297078, 114.24999435742696
, 12, 1.4139995574951172, 0.023566659291585287, 117.83329645792644
, 85, 9.59999966621399, 0.15999999443689983, 112.94117254369398
, 44, 4.984998464584351, 0.08308330774307252, 113.29541964964433
, 13, 1.5269999504089355, 0.02544999917348226, 117.4615346468412
, 25, 2.850999355316162, 0.04751665592193603, 114.03997421264648
, 106, 11.988999605178833, 0.19981666008631388, 113.10376986017768
, 14, 1.6299998760223389, 0.027166664600372314, 116.42856257302421
, 26, 3.0370006561279297, 0.05061667760213216, 116.80771754338191
, 15, 1.7689998149871826, 0.029483330249786378, 117.93332099914551
, 127, 14.300001621246338, 0.23833336035410563, 112.59843796256959
, 65, 7.360999584197998, 0.12268332640329997, 113.24614744919998
, 45, 5.110000133514404, 0.08516666889190674, 113.55555852254231
, 16, 1.8410003185272217, 0.03068333864212036, 115.06251990795135
, 148, 16.71499991416931, 0.27858333190282186, 112.9391886092521
, 27, 3.076998710632324, 0.05128331184387207, 113.9629152086046
, 17, 2.0040011405944824, 0.03340001900990804, 117.88242003496956
, 169, 19.08300018310547, 0.3180500030517578, 112.91716084677793
, 86, 9.765999794006348, 0.16276666323343914, 113.55813713960869
, 28, 3.1730008125305176, 0.05288334687550863, 113.32145759037563
, 18, 2.05899977684021, 0.03431666294733683, 114.38887649112279
, 46, 5.206000328063965, 0.08676667213439941, 113.17392017530359
, 190, 21.351999521255493, 0.35586665868759154, 112.37894484871312
, 19, 2.205000400543213, 0.03675000667572022, 116.0526526601691
, 66, 7.481000185012817, 0.12468333641688029, 113.34848765170935
, 29, 3.278001546859741, 0.05463335911432902, 113.03453609861177
, 107, 12.053999900817871, 0.2008999983469645, 112.65420468054086
, 211, 23.60300040245056, 0.3933833400408427, 111.8625611490548
, 20, 2.3440001010894775, 0.03906666835149129, 117.20000505447388
, 47, 5.288000106811523, 0.08813333511352539, 112.51064057045794
, 232, 26.30100107192993, 0.4383500178654989, 113.36638393073247
, 30, 3.3869998455047607, 0.05644999742507935, 112.89999485015869
, 21, 2.4149997234344482, 0.04024999539057414, 114.99998683021181
, 128, 14.501999616622925, 0.24169999361038208, 113.2968720048666
, 87, 9.922000885009766, 0.16536668141682942, 114.0459871840203
, 67, 7.604999780654907, 0.12674999634424847, 113.5074594127598
, 31, 3.5420007705688477, 0.05903334617614746, 114.25808937318864
, 48, 5.428000211715698, 0.09046667019526164, 113.08333774407704
, 149, 16.757999897003174, 0.27929999828338625, 112.46979796646426
, 32, 3.6419999599456787, 0.06069999933242798, 113.81249874830246
, 108, 12.184000015258789, 0.20306666692097983, 112.8148149560999
, 49, 5.528998374938965, 0.09214997291564941, 112.83670152936664
, 33, 3.745000123977661, 0.06241666873296102, 113.48485224174732
