Total Key Exchanges, How many Key Exchanges?, Overall Time (seconds), Overall Time (minutes), time per key exchange (miliseconds)
500500
, 1, 0.06199836730957031, 0.0010333061218261719, 61.99836730957031
, 2, 0.1230013370513916, 0.00205002228418986, 61.5006685256958
, 3, 0.1849994659423828, 0.003083324432373047, 61.66648864746094
, 22, 1.3975088596343994, 0.02329181432723999, 63.52312998338179
, 4, 0.26199913024902344, 0.004366652170817057, 65.49978256225586
, 5, 0.367002010345459, 0.006116700172424316, 73.4004020690918
, 43, 2.679509401321411, 0.04465849002202352, 62.31417212375374
, 6, 0.3899991512298584, 0.006499985853830974, 64.99985853830974
, 64, 3.969510555267334, 0.06615850925445557, 62.02360242605209
, 7, 0.4510006904602051, 0.007516678174336751, 64.42867006574359
, 85, 5.221509218215942, 0.08702515363693238, 61.42952021430521
, 23, 1.4230008125305176, 0.023716680208841958, 61.86960054480512
, 8, 0.5089998245239258, 0.008483330408732096, 63.62497806549072
, 106, 6.604509353637695, 0.1100751558939616, 62.306692015449954
, 127, 7.818509578704834, 0.1303084929784139, 61.56306754885696
, 9, 0.5589978694915771, 0.009316631158192952, 62.11087438795301
, 148, 9.134352207183838, 0.15223920345306396, 61.71859599448539
, 10, 0.6182191371917725, 0.010303652286529541, 61.821913719177246
, 169, 10.519089698791504, 0.17531816164652506, 62.243134312375766
, 24, 1.4987382888793945, 0.02497897148132324, 62.447428703308105
, 44, 2.729768991470337, 0.045496149857838945, 62.04020435159856
, 190, 11.830121755599976, 0.19716869592666625, 62.26379871368408
, 11, 0.6970007419586182, 0.011616679032643636, 63.36370381441983
, 211, 13.03512167930603, 0.21725202798843385, 61.77782786400962
, 232, 14.271123886108398, 0.23785206476847331, 61.5134650263293
, 12, 0.7399990558624268, 0.012333317597707113, 61.66658798853556
, 25, 1.5369999408721924, 0.025616665681203205, 61.479997634887695
, 13, 0.8389990329742432, 0.013983317216237386, 64.53838715186485
, 65, 4.0629987716674805, 0.06771664619445801, 62.50767341026893
, 14, 0.8609988689422607, 0.01434998114903768, 61.49991921016148
, 45, 2.7940001487731934, 0.04656666914621989, 62.088892194959854
, 26, 1.5890002250671387, 0.026483337084452312, 61.115393271813026
, 15, 0.9330000877380371, 0.015550001462300619, 62.200005849202476
, 86, 5.326000452041626, 0.08876667420069377, 61.93023781443751
, 16, 1.0190000534057617, 0.01698333422342936, 63.68750333786011
, 27, 1.733001947402954, 0.028883365790049235, 64.18525731122051
, 107, 6.709997892379761, 0.11183329820632934, 62.71026067644636
, 17, 1.0179996490478516, 0.01696666081746419, 59.88233229693245
